SE,Name,Lines,Stars
S01E01,ross,"I'm supposed to attach a brackety thing to the side things, using a bunch of these little worm guys. I have no brackety thing, I see no whim guys whatsoever and- I cannot feel my legs.",8.3
S01E01,joey,I'm thinking we've got a bookcase here.,8.3
S01E01,chandler,It's a beautiful thing.,8.3
S01E01,joey,What's this?,8.3
S01E01,chandler,I would have to say that is an 'L'-shaped bracket.,8.3
S01E01,joey,Which goes where?,8.3
S01E01,chandler,I have no idea.,8.3
S01E01,joey,Done with the bookcase!,8.3
S01E01,chandler,All finished!,8.3
S01E01,ross,"This was Carol's favorite beer. She always drank it out of the can, I should have known.",8.3
S01E01,joey,"Hey-hey-hey-hey, if you're gonna start with that stuff we're outta here.",8.3
S01E01,chandler,"Yes, please don't spoil all this fun.",8.3
S01E01,joey,"Ross, let me ask you a question. She got the furniture, the stereo, the good TV- what did you get?",8.3
S01E01,ross,You guys.,8.3
S01E01,chandler,"Oh, God.",8.3
S01E01,joey,You got screwed.,8.3
S01E01,chandler,Oh my God!,8.3
S01E01,monica,Oh my God!,8.3
S01E01,monica,"My brother's going through that right now, he's such a mess. How did you get through it?",8.3
S01E01,monica,-leg?,8.3
S01E01,monica,"You actually broke her watch?  Wow!  The worst thing I ever did was, I-I shredded by boyfriend's favorite bath towel.",8.3
S01E01,rachel,"Barry, I'm sorry... I am so sorry... I know you probably think that this is all about what I said the other day about you making love with your socks on, but it isn't... it isn't, it's about me, and I ju-",8.3
S01E01,ross,I'm divorced!  I'm only 26 and I'm divorced!,8.3
S01E01,joey,Shut up!,8.3
S01E01,chandler,You must stop!,8.3
S01E01,ross,That only took me an hour.,8.3
S01E01,chandler,"Look, Ross, you gotta understand, between us we haven't had a relationship that has lasted longer than a Mento.   You, however have had the love of a woman for four years.   Four years of closeness and sharing at the end of which she ripped your heart out, and that is why we don't do it!  I don't think that was my point!",8.3
S01E01,ross,"You know what the scariest part is? What if there's only one woman for everybody, y'know? I mean what if you get one woman- and that's it? Unfortunately in my case, there was only one woman- for her...",8.3
S01E01,joey,"What are you talking about? 'One woman'? That's like saying there's only one flavor of ice cream for you. Lemme tell you something, Ross. There's lots of flavors out there. There's Rocky Road, and Cookie Dough, and Bing! Cherry Vanilla. You could get 'em with Jimmies, or nuts, or whipped cream! This is the best thing that ever happened to you! You got married, you were, like, what, eight? Welcome back to the world! Grab a spoon!",8.3
S01E01,ross,I honestly don't know if I'm hungry or horny.,8.3
S01E01,monica,"What?..... What, you wanna spell it out with noodles?",8.3
S01E01,monica,"Oh, so there is gonna be a fifth date?",8.3
S01E01,monica,"Yeah... yeah, I think there is. -What were you gonna say?",8.3
S01E01,monica,"Oh God, oh God, I am sorry... I am so sorry...",8.3
S01E01,monica,I know being spit on is probably not what you need right now. Um... how long?,8.3
S01E01,monica,Wow! I'm-I'm-I'm glad you smashed her watch!,8.3
S01E01,monica,"...Yeah. Yeah, I do.",8.3
S01E01,rachel,Oh...see... but Joanne loved Chachi! That's the difference!,8.3
S01E01,ross,"Grab a spoon. Do you know how long it's been since I've grabbed a spoon? Do the words 'Billy, don't be a hero' mean anything to you?",8.3
S01E01,joey,"Great story!  But, I uh, I gotta go, I got a date with Andrea--Angela--Andrea...  Oh man,",8.3
S01E01,chandler,"Angela's the screamer, Andrea has cats.",8.3
S01E01,joey,Right.  Thanks.  It's June.  I'm outta here.,8.3
S01E01,ross,"Y'know, here's the thing. Even if I could get it together enough to- to ask a woman out,... who am I gonna ask?",8.3
S01E01,rachel,"Isn't this amazing? I mean, I have never made coffee before in my entire life.",8.3
S01E01,chandler,That is amazing.,8.3
S01E01,joey,Congratulations.,8.3
S01E01,rachel,"Y'know, I figure if I can make coffee, there isn't anything I can't do.",8.3
S01E01,chandler,"If can invade Poland, there isn't anything I can't do.",8.3
S01E01,joey,"Listen, while you're on a roll, if you feel like you gotta make like a Western omelet or something...  Although actually I'm really not that hungry...",8.3
S01E01,monica,"Oh good, Lenny and Squigy are here.",8.3
S01E01,joey,"Morning, Paul.",8.3
S01E01,rachel,"Hello, Paul.",8.3
S01E01,chandler,"Hi, Paul, is it?",8.3
S01E01,monica,Stop!,8.3
S01E01,monica,We'll talk later.,8.3
S01E01,joey,That wasn't a real date?! What the hell do you do on a real date?,8.3
S01E01,monica,"Shut up, and put my table back.",8.3
S01E01,chandler,"All right, kids, I gotta get to work. If I don't input those numbers,... it doesn't make much of a difference...",8.3
S01E01,rachel,"So, like, you guys all have jobs?",8.3
S01E01,monica,"Yeah, we all have jobs. See, that's how we buy stuff.",8.3
S01E01,joey,"Yeah, I'm an actor.",8.3
S01E01,rachel,Wow! Would I have seen you in anything?,8.3
S01E01,joey,I doubt it. Mostly regional work.,8.3
S01E01,monica,"Oh wait, wait, unless you happened to catch the Reruns' production of Pinocchio, at the little theater in the park.",8.3
S01E01,joey,"Look, it was a job all right?",8.3
S01E01,chandler,"'Look, Gippetto, I'm a real live boy.'",8.3
S01E01,joey,I will not take this abuse.,8.3
S01E01,chandler,"You're right, I'm sorry.  \Once I was a wooden boy",8.3
S01E01,joey,"You should both know, that he's a dead man.  Oh, Chandler?",8.3
S01E01,monica,So how you doing today? Did you sleep okay? Talk to Barry? I can't stop smiling.,8.3
S01E01,rachel,I can see that. You look like you slept with a hanger in your mouth.,8.3
S01E01,monica,"I know, he's just so, so... Do you remember you and Tony DeMarco?",8.3
S01E01,rachel,"Oh, yeah.",8.3
S01E01,monica,"Well, it's like that. With feelings.",8.3
S01E01,rachel,Oh wow. Are you in trouble.,8.3
S01E01,monica,Big time!,8.3
S01E01,rachel,Want a wedding dress?   Hardly used.,8.3
S01E01,monica,"I think we are getting a little ahead of selves here. Okay. Okay. I am just going to get up, go to work and not think about him all day. Or else I'm just gonna get up and go to work.",8.3
S01E01,rachel,"Oh, look, wish me luck!",8.3
S01E01,monica,What for?,8.3
S01E01,rachel,I'm gonna go get one of those  job things.,8.3
S01E01,monica,"Hey Frannie, welcome back! How was Florida?",8.3
S01E01,monica,How do you do that?,8.3
S01E01,monica,You know Paul?,8.3
S01E01,monica,You mean you know Paul like I know Paul?,8.3
S01E01,joey,Of course it was a line!,8.3
S01E01,monica,"Why?! Why? Why, why would anybody do something like that?",8.3
S01E01,ross,I assume we're looking for an answer more sophisticated than 'to get you into bed'.,8.3
S01E01,monica,I hate men!  I hate men!,8.3
S01E01,phoebe,"Oh no, don't hate, you don't want to put that out into the universe.",8.3
S01E01,monica,Is it me? Is it like I have some sort of beacon that only dogs and men with severe emotional problems can hear?,8.3
S01E01,phoebe,"All right, c'mere, gimme your feet.",8.3
S01E01,monica,"I just thought he was nice, y'know?",8.3
S01E01,joey,I can't believe you didn't know it was a line!,8.3
S01E01,rachel,Guess what?,8.3
S01E01,ross,You got a job?,8.3
S01E01,rachel,Are you kidding? I'm trained for nothing! I was laughed out of twelve interviews today.,8.3
S01E01,chandler,And yet you're surprisingly upbeat.,8.3
S01E01,rachel,"You would be too if you found John and David boots on sale, fifty percent off!",8.3
S01E01,chandler,"Oh, how well you know me...",8.3
S01E01,rachel,"They're my new 'I don't need a job, I don't need my parents, I've got great boots' boots!",8.3
S01E01,monica,How'd you pay for them?,8.3
S01E01,rachel,"Uh, credit card.",8.3
S01E01,monica,And who pays for that?,8.3
S01E01,rachel,Um... my... father.,8.3
S01E01,rachel,"Oh God, come on you guys, is this really necessary?  I mean, I can stop charging anytime I want.",8.3
S01E01,monica,"C'mon, you can't live off your parents your whole life.",8.3
S01E01,rachel,I know that. That's why I was getting married.,8.3
S01E01,phoebe,"Give her a break, it's hard being on your own for the first time.",8.3
S01E01,rachel,Thank you.,8.3
S01E01,phoebe,"You're welcome. I remember when I first came to this city. I was fourteen. My mom had just killed herself and my step-dad was back in prison, and I got here, and I didn't know anybody. And I ended up living with this albino guy who was, like, cleaning windshields outside port authority, and then he killed himself, and then I found aromatherapy. So believe me, I know exactly how you feel.",8.3
S01E01,ross,The word you're looking for is 'Anyway'...,8.3
S01E01,monica,"All right, you ready?",8.3
S01E01,rachel,"No.  No, no, I'm not ready!  How can I be ready?  \Hey",8.3
S01E01,monica,"You can, I know you can!",8.3
S01E01,rachel,I don't think so.,8.3
S01E01,ross,"Come on, you made coffee!   You can do anything!",8.3
S01E01,ross,"C'mon, cut. Cut, cut, cut,...",8.3
S01E01,rachel,Y'know what?  I think we can just leave it at that.  It's kinda like a symbolic gesture...,8.3
S01E01,monica,Rachel!  That was a library card!,8.3
S01E01,chandler,"Y'know, if you listen closely, you can hear a thousand retailers scream.",8.3
S01E01,monica,Welcome to the real world! It sucks. You're gonna love it!,8.3
S01E01,monica,"Well, that's it  You gonna crash on the couch?",8.3
S01E01,ross,"No. No, I gotta go home sometime.",8.3
S01E01,monica,You be okay?,8.3
S01E01,ross,Yeah.,8.3
S01E01,rachel,"Hey Mon, look what I just found on the floor.  What?",8.3
S01E01,monica,"That's Paul's watch. You just put it back where you found it. Oh boy. Alright. Goodnight, everybody.",8.3
S01E01,ross,"Mmm.  Oh, no-",8.3
S01E01,rachel,Sorry-,8.3
S01E01,ross,"No no no, go-",8.3
S01E01,rachel,"No, you have it, really, I don't want it-",8.3
S01E01,ross,Split it?,8.3
S01E01,rachel,Okay.,8.3
S01E01,ross,"Okay.  You know you probably didn't know this, but back in high school, I had a, um, major crush on you.",8.3
S01E01,rachel,I knew.,8.3
S01E01,ross,You did! Oh.... I always figured you just thought I was Monica's geeky older brother.,8.3
S01E01,rachel,I did.,8.3
S01E01,ross,"Oh. Listen, do you think- and try not to let my intense vulnerability become any kind of a factor here- but do you think it would be okay if I asked you out? Sometime? Maybe?",8.3
S01E01,rachel,"Yeah, maybe...",8.3
S01E01,ross,"Okay... okay, maybe I will...",8.3
S01E01,rachel,Goodnight.,8.3
S01E01,ross,Goodnight.,8.3
S01E01,monica,"See ya.... Waitwait, what's with you?",8.3
S01E01,ross,I just grabbed a spoon.,8.3
S01E01,joey,I can't believe what I'm hearing here.,8.3
S01E01,phoebe,I can't believe what I'm hearing here...,8.3
S01E01,monica,What? I-I said you had a-,8.3
S01E01,phoebe,What I said you had...,8.3
S01E01,monica,Would you stop?,8.3
S01E01,phoebe,"Oh, was I doing it again?",8.3
S01E01,monica,"I said that you had a nice butt, it's just not a great butt.",8.3
S01E01,joey,"Oh, you wouldn't know a great butt if it came up and bit ya.",8.3
S01E01,ross,There's an image.,8.3
S01E01,rachel,Would anybody like more coffee?,8.3
S01E01,chandler,"Did you make it, or are you just serving it?",8.3
S01E01,rachel,I'm just serving it.,8.3
S01E01,chandler,"Kids, new dream... I'm in Las Vegas.",8.3
S01E01,rachel,"Ugh.  Sorry.  Okay, Las Vegas.",8.3
S01E01,chandler,"Okay, so, I'm in Las Vegas... I'm Liza Minelli-",8.3
S01E02,monica,"What you guys don't understand is, for us, kissing is as important as any part of it.",8.1
S01E02,joey,"Yeah, right!.......Y'serious?",8.1
S01E02,phoebe,"Oh, yeah!",8.1
S01E02,rachel,Everything you need to know is in that first kiss.,8.1
S01E02,monica,Absolutely.,8.1
S01E02,chandler,"Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out.",8.1
S01E02,ross,"Yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket.",8.1
S01E02,chandler,"The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake.",8.1
S01E02,joey,....Are we still talking about sex?,8.1
S01E02,ross,"No, it's good, it is good, it's just that- mm- doesn't she seem a little angry?",8.1
S01E02,ross,Does she.,8.1
S01E02,ross,"Marsha, these are cave people. Okay? They have issues like 'Gee, that glacier's getting kinda close.' See?",8.1
S01E02,ross,No. No.,8.1
S01E02,ross,"Okay, okay, yes, it is.  How about I'll, uh, catch up with you in the Ice Age.",8.1
S01E02,ross,"You look great. I, uh... I hate that.",8.1
S01E02,ross,"Ah, well, in here, anyone who... stands erect... So what's new? Still, uh...",8.1
S01E02,ross,"Well... you never know. How's, um.. how's the family?",8.1
S01E02,ross,"Why- why are you here, Carol?",8.1
S01E02,ross,Pregnant?!,8.1
S01E02,chandler,"Oh, I think this is the episode of Three's Company where there's some kind of misunderstanding.",8.1
S01E02,monica,Are you through with that?,8.1
S01E02,joey,"Yeah, sorry, the swallowing slowed me down.",8.1
S01E02,monica,Whose little ball of paper is this?!,8.1
S01E02,chandler,"Oh, uh, that would be mine. See, I wrote a note to myself, and then I realised I didn't need it, so I balled it up and...  ...now I wish I was dead.",8.1
S01E02,phoebe,"She's already fluffed that pillow... Monica, you know, you've already fluffed that-  -but, it's fine!",8.1
S01E02,monica,"Look , I'm sorry, guys, I just don't wanna give them any more ammunition than they already have.",8.1
S01E02,chandler,"Yes, and we all know how cruel a parent can be about the flatness of a child's pillow.",8.1
S01E02,phoebe,"Monica- Hi! Um, Monica, you're scaring me. I mean, you're like, you're like all chaotic and twirly. And not-not in a good way.",8.1
S01E02,joey,"Yeah, calm down. You don't see Ross getting all chaotic and twirly every time they come.",8.1
S01E02,monica,"That's because as far as my parents are concerned, Ross can do no wrong. Y'see, he's the Prince. Apparently they had some big ceremony before I was born.",8.1
S01E02,chandler,"Ew, ew, ew, ew ew ew ew ew!",8.1
S01E02,monica,What?,8.1
S01E02,chandler,Ugly Naked Guy got a Thighmaster!,8.1
S01E02,rachel,Has anybody seen my engagement ring?,8.1
S01E02,phoebe,"Yeah, it's beautiful.",8.1
S01E02,rachel,"Oh God, oh God, oh God oh God oh God oh God....",8.1
S01E02,phoebe,"No, look, don't touch that!",8.1
S01E02,rachel,"Oh, like I wasn't dreading tomorrow enough, having to give it back to him... 'Hi Barry! Remember me? I'm the girl in the veil who stomped on your heart in front of your entire family!' Oh God and now I'm gonna have to return the ring, without the ring, which makes it so much harder...",8.1
S01E02,monica,"Easy Rach, we'll find it.  Won't we!",8.1
S01E02,joey,"Alright, when'd'ya have it on last?",8.1
S01E02,phoebe,Doy! Probably right before she lost it!,8.1
S01E02,chandler,You don't get a lot of 'doy' these days...,8.1
S01E02,rachel,"I know I had it this morning, and I know I had it when I was in the kitchen with...",8.1
S01E02,chandler,...Dinah?,8.1
S01E02,rachel,"Ohhhhh, don't be mad...",8.1
S01E02,monica,You didn't.,8.1
S01E02,rachel,"Oh, I am sorry...",8.1
S01E02,monica,I gave you one job!,8.1
S01E02,rachel,"Oh, but look how straight those noodles are!",8.1
S01E02,chandler,"Now, Monica, you know that's not how you look for an engagement ring in a lasagne...",8.1
S01E02,monica,I just... can't do it.,8.1
S01E02,chandler,Boys? We're going in.,8.1
S01E02,ross,.....Hi.,8.1
S01E02,monica,Wow. That is not a happy hi.,8.1
S01E02,ross,Carol's pregnant.,8.1
S01E02,phoebe,Ooh! I found it!,8.1
S01E02,monica,W-w-wh-... wha-... w-w-w-...,8.1
S01E02,ross,"Yeah. Do that for another two hours, you might be where I am right about now.",8.1
S01E02,chandler,"Kinda puts that whole pillow thing in perspective, huh, Mon?",8.1
S01E02,rachel,"Well now, how-how do you fit into this whole thing?",8.1
S01E02,ross,"Well, Carol says she and Susan want me to be involved, but if I'm not comfortable with it, I don't have to be involved.. basically it's entirely up to me.",8.1
S01E02,phoebe,She is so great! I miss her.,8.1
S01E02,monica,What does she mean by 'involved'?,8.1
S01E02,chandler,"I mean presumably, the biggest part of your job is done.",8.1
S01E02,ross,"Anyway, they want me to go down to this- sonogram thing with them tomorrow.",8.1
S01E02,rachel,So what are you gonna do?,8.1
S01E02,ross,"I have no idea. No matter what I do, though, I'm still gonna be a father.",8.1
S01E02,joey,".....Well, this is still ruined, right?",8.1
S01E02,monica,Curry.,8.1
S01E02,ross,"I- I think they're great! I, I really do.",8.1
S01E02,ross,"Aw, Mom...",8.1
S01E02,monica,"I'm sorry, why is this girl going to call me?",8.1
S01E02,monica,"No Mom, I don't have a restaurant, I work in a restaurant.",8.1
S01E02,monica,"Ross, could you come and help me with the spaghetti, please?",8.1
S01E02,ross,Yeah.,8.1
S01E02,monica,"I know this is going to sound unbelievably selfish, but, were you planning on bringing up the whole baby/lesbian thing? Because I think it might take some of the heat off me.",8.1
S01E02,monica,What's that supposed to mean?,8.1
S01E02,monica,No it's not.,8.1
S01E02,monica,"No news, no little anecdotes to share with the folks?",8.1
S01E02,ross,"Look, I, uh- I realise you guys have been wondering what exactly happened between Carol and me, and, so, well, here's the deal. Carol's a lesbian. She's living with a woman named Susan. She's pregnant with my child, and she and Susan are going to raise the baby.",8.1
S01E02,joey,"Your folks are really that bad, huh?",8.1
S01E02,ross,"Well, y'know, these people are pros. They know what they're doing, they take their time, they get the job done.",8.1
S01E02,monica,"Boy, I know they say you can't change your parents,... boy, if you could-  -I'd want yours.",8.1
S01E02,ross,Must pee.,8.1
S01E02,phoebe,"Y'know, it's even worse when you're twins.",8.1
S01E02,rachel,You're twins?,8.1
S01E02,phoebe,"Yeah. We don't speak. She's like this high-powered, driven career type.",8.1
S01E02,chandler,What does she do?,8.1
S01E02,phoebe,She's a waitress.,8.1
S01E02,rachel,"All right, you guys, I kinda gotta clean up now.",8.1
S01E02,monica,"Chandler, you're an only child, right? You don't have any of this.",8.1
S01E02,chandler,"Well, no, although I did have an imaginary friend, who... my parents actually preferred.",8.1
S01E02,rachel,"The lights, please..",8.1
S01E02,ross,...How long was I in there?,8.1
S01E02,rachel,I'm just cleaning up.,8.1
S01E02,ross,D'ya.. uh.. d'ya need any help?,8.1
S01E02,rachel,"Uh.. okay, sure! Thanks!",8.1
S01E02,ross,"Anyway.. um..  So, you- uh- you nervous about Barry tomorrow?",8.1
S01E02,rachel,Oh.. a little..,8.1
S01E02,ross,Mm-hmm..,8.1
S01E02,rachel,A lot.,8.1
S01E02,ross,Mm.,8.1
S01E02,rachel,"So, got any advice? Y'know, as someone who's recently been- dumped?",8.1
S01E02,ross,"Well, you may wanna steer clear of the word 'dumped'. Chances are he's gonna be this, this broken shell of a man, y'know, so you should try not to look too terrific, I know it'll be hard. Or, y'know, uh, hey!, I'll go down there, and I'll give Barry back his ring, and you can go with Carol and Susan to the OB/GYN...",8.1
S01E02,rachel,"Oh, you've got Carol tomorrow.. When did it get so complicated?",8.1
S01E02,ross,Got me.,8.1
S01E02,rachel,Remember when we were in high school together?,8.1
S01E02,ross,Yeah.,8.1
S01E02,rachel,"I mean, didn't you think you were just gonna meet somone, fall in love- and that'd be it?  ..Ross?",8.1
S01E02,ross,"Yes, yes!",8.1
S01E02,rachel,"Oh! Man, I never thought I'd be here..",8.1
S01E02,ross,Me either...,8.1
S01E02,ross,"Sorry I'm late, I was stuck at work. There was this big dinosaur.. thing.. anyway.",8.1
S01E02,ross,How could I forget?,8.1
S01E02,ross,"Good shake. Good shake. So, uh, we're just waiting for...?",8.1
S01E02,ross,..Dr. Oberman. Okay. And is he-,8.1
S01E02,ross,"-she, of course, she- uh- familiar with our.. special situation?",8.1
S01E02,ross,"Okay, that's great.  No, I'm- Oh.",8.1
S01E02,ross,"Quack, quack..",8.1
S01E02,rachel,Barry?,8.1
S01E02,rachel,Are you sure?,8.1
S01E02,rachel,I'm- uh- I'm okay... You look great!,8.1
S01E02,rachel,I dumped him.,8.1
S01E02,ross,"So, um- so how's this, uh, how's this gonna work? Y'know, with us? Y'know, when, like, important decisions have to be made?",8.1
S01E02,ross,"Well, uh, uh, I don't know, okay, okay, how about with the, uh, with the baby's name?",8.1
S01E02,ross,Marlon?!,8.1
S01E02,ross,...As in Mouse?,8.1
S01E02,ross,"Still, you- you say Minnie, you hear Mouse. Um, how about, um.. how about Julia?",8.1
S01E02,ross,"'S'funny, um, uh, we agreed we'd spend the rest of our lives together. Things change, roll with the punches. I believe Julia's on the table..?",8.1
S01E02,rachel,"Oh, not much. I-I got a job.",8.1
S01E02,rachel,Why are- why are you so tanned?,8.1
S01E02,rachel,Oh no. You went on our honeymoon alone?,8.1
S01E02,rachel,"Mindy?! My maid of honour, Mindy?!",8.1
S01E02,rachel,"Oh! Well, um..  You've got plugs!",8.1
S01E02,rachel,And you've got lenses! But you hate sticking your finger in your eye!,8.1
S01E02,rachel,Okay..,8.1
S01E02,rachel,Wow.,8.1
S01E02,rachel,What?,8.1
S01E02,rachel,"Anyway, um,  I guess this belongs to you. And thank you for giving it to me.",8.1
S01E02,ross,Helen Geller? I don't think so.,8.1
S01E02,ross,Thank you!,8.1
S01E02,ross,"What, it's gonna be Helen Willick?",8.1
